s2id,latitude,longitude,label,sublabel,iso3
356ec741,34.839059469352883,128.42069569869318,TONGYEONG,,KOR
3574e907,34.691433022457183,125.4429067750192,HEUKSANDO,,KOR
356f2c7b,35.137774967951927,128.6030742948769,MASAN,,KOR
356f2af7,35.080054265204275,128.61175951519579,NANPO-RI,,KOR
3561b845,37.489558507908853,129.12593151367221,DONGHAE,,KOR
408f6eb5,41.9298905462418,35.093780734645975,SINOP,,TUR
409c5ab7,41.2413795374017,31.401199557521895,EREGLI,,TUR
58dfbb4f,52.624220043089316,156.26454493081394,OKTYABRSKIY,,RUS
408f6eb7,41.931409129541144,35.093849407285418,SINOP,,TUR
134c3d59,42.449845143910878,18.431229679215782,MOLUNAT,,HRV
14caa2e5,40.955342946043295,28.824999845420571,ISTANBUL,,TUR
0d2f39b9,42.560604806432558,-8.98965378995648,RIBEIRA,,ESP
346dd8ab,22.9939584037782,120.15435278398279,TAINAN,,TWN
14be74e5,37.0543630420043,27.232051753102326,BODRUM,,TUR
13357db7,43.291565492953119,16.495088430623873,BRAC,,HRV
4085501b,41.973612309066048,33.891656945920204,AYVAT,,TUR
4088aff3,41.647687320988908,35.670698419262067,TOPLU,,TUR
13351233,43.444047979730392,16.079726570609413,DRVENIK MALI,,HRV
58e19943,52.962135957882346,158.69792596085017,PETROPAVLOVSK,,RUS
58e19947,52.95944142321715,158.69718330919713,PETROPAVLOVSK,,RUS
58e199c5,53.006591919793429,158.64188053865192,PETROPAVLOVSK,,RUS
58e19945,52.959571663631408,158.70353558934823,PETROPAVLOVSK,,RUS
14ca8a27,40.618966280105532,28.953835793827828,ESENKOY,,TUR
1334b6b9,43.871458019851104,15.327178495965912,ZUT,,HRV
346c45cb,23.559301136983304,119.67470041527382,PENGHU,,TWN
0d2f44a1,42.378132748015126,-8.92776372637849,A ILLA DE ONS,,ESP
14b1aa4b,40.104979909035023,26.377743123931197,DARDANELLES,,TUR
354df607,33.422000712033835,134.01770998521772,NAHARI,,JPN
107cf819,1.8225751370710943,9.7328225675529652,BATA,,GNQ
107cf817,1.8229903912198342,9.7364284174357216,BATA,,GNQ
107cf83d,1.8255401298941227,9.7357997304094024,BATA,,GNQ
107cf823,1.8255377732699227,9.7333791058008341,BATA,,GNQ
107cf83f,1.8264330028264453,9.74051249748924,BATA,,GNQ
1a5cec57,-5.8670053133529416,13.044246890564752,BOMA,,COD
1a5cec45,-5.8595018105143772,13.052188997058668,BOMA,,COD
13357de7,43.276338484415,16.516019303142933,BRAC,,HRV
463a1127,58.503410217648458,5.795433325389781,SIREVAG,,NOR
48bc317d,62.008216741484,-6.6742972338044257,NOLSOY,,FRO
3e828be1,19.661207245294563,57.715973029709936,DUQM,,OMN
1334de6f,43.636844579173648,15.703200260498246,ZIRJE,,HRV
4067be9b,41.414766635384424,41.431487495551046,HOPA,,TUR
4067be97,41.410777739861388,41.429834606316689,HOPA,,TUR
14bba837,38.671679648371075,26.438923852528269,YENILIMAN,,TUR
14bb8cdb,38.196842618748178,26.783041001803749,SIGACIK,,TUR
3b3f7fc1,4.1948124518952445,73.485829106237929,MALE,,MDV
57311bc5,64.500466520300492,-165.42072858184889,NOME,,USA
47624103,44.380073655975025,14.775650039557469,OLIB,,HRV
1334c721,43.738363347299732,15.452606521592477,KORNATI,,HRV
40667b25,41.038943243054511,40.510244489154196,RIZE,,TUR
6e1bde9d,-18.131493706639461,178.42607015582533,SUVA,,FJI
102078b1,5.6355699672194159,0.0115700874536925,TEMA,,GHA
47625865,44.491353449727548,14.502026687008096,LOSINJ,,HRV
4062b939,41.116340602203522,37.343337912804643,UNYE,,TUR
4062b93f,41.112981767326751,37.343619201357114,UNYE,,TUR
4062b947,41.116872205451678,37.341256011839882,UNYE,,TUR
3561b843,37.491566472417077,129.12672675947096,DONGHAE,,KOR
4065d3a5,40.921645304604844,40.185792709203291,SURMENE,,TUR
13359685,43.019903579509467,16.214072205014851,VIS,,HRV
4088760d,41.268743774006126,36.381811184343334,SAMSUN,,TUR
356f2ac1,35.06778407034227,128.63320540568708,SIM-RI,,KOR
4761fedf,44.051078896384979,15.110559681264439,IZ,,HRV
31da2747,1.1928332042612455,104.01963175391693,BATU AMPAR,,IDN
47625877,44.498435732642456,14.493623429342835,LOSINJ,,HRV
13356d83,43.397186338255338,16.206499098312083,SOLTA,,HRV
5f6bc189,43.839357141745467,146.70218776035847,SHIKOTAN,,RUS
3568e823,35.079374950330987,128.9936163870201,BUSAN,,KOR
3568e86b,35.066930872931067,129.00897563316886,BUSAN,,KOR
3568e94b,35.0858749219169,129.07101894386926,BUSAN,,KOR
3568e821,35.0806683902959,128.99279119175429,BUSAN,,KOR
3568e815,35.069578673431877,129.00657267619363,BUSAN,,KOR
3568e83f,35.075533194152655,129.00471565275066,BUSAN,,KOR
3568e813,35.063985398364352,129.0082770801728,BUSAN,,KOR
3568d375,35.115791956489673,128.6911490063973,JINHAE,,KOR
3568e825,35.082668198272529,128.99528384588973,BUSAN,,KOR
3568e873,35.059120649502248,129.00913386139231,BUSAN,,KOR
3568e86d,35.064609662720315,129.01040518308173,BUSAN,,KOR
3568e837,35.084521420475319,129.004599498065,BUSAN,,KOR
3568e839,35.079892454019941,129.00414958827423,BUSAN,,KOR
3550517b,34.3137905199364,133.09214989021109,SETODA,,JPN
463a10d7,58.503992693028607,5.7974424342635258,SIREVAG,,NOR
14ca8a29,40.619615521606214,28.9543717910742,ESENKOY,,TUR
0ec17301,14.687562271436247,-17.4303494244181,DAKAR,,SEN
