,name,longitude,latitude
14624,TALLINN,24.518581372288843,59.52082045285663
14625,TALLINN,24.52652645533844,59.48387942577893
14626,TALLINN,24.52080430284733,59.488896878564965
14627,DARDANELLES,27.046394468811535,40.56518765325596
14628,SANYA,109.25580933364203,18.280829814335817
14629,SANYA,109.440691705785,18.23273723330709
14630,SANYA,109.11312147025532,18.32265632762381
14631,SANYA,109.11356939366829,18.3127475024988
14632,SANYA,109.11350396587352,18.306917108872835
14633,SANYA,109.10700331771284,18.30727830503541
14634,SANYA,109.11954789250964,18.300120283424903
14635,FANGCHENGGANG,108.35189889643576,21.550720836228848
14636,FANGCHENGGANG,108.48362751030636,21.548355665798702
14637,FANGCHENGGANG,108.48430133050648,21.554431001556644
14638,FANGCHENGGANG,108.4950212298849,21.55282076604928
14639,FANGCHENGGANG,108.49525077299812,21.54712354516922
14640,BEIHAI,109.0487831386598,21.431832367998307
14641,BEIHAI,109.05388419971372,21.431326645718865
14642,BEIHAI,109.05422605678598,21.42567794554857
14643,BEIHAI,109.1142650059028,21.400755614531057
14644,BEIHAI,109.12112907338732,21.40078559836344
14645,BEIHAI,109.1238500687371,21.404722442710337
14646,BEIHAI,109.12428623013702,21.40055875355225
14647,BEIHAI,109.11413676761094,21.395300065029275
14648,DANZHOU,109.13788297731848,19.73365814569285
14649,DANZHOU,109.13170340642006,19.71335758813705
14650,DANZHOU,109.13735533689362,19.76824700148869
14651,DONGFANG,108.62007573549543,19.138747249152207
14652,DONGFANG,108.61542628677854,19.145421429679093
14653,HAIKOU,110.23802009636492,20.080758081351
14654,HAIKOU,110.26412073469469,20.07838443976472
14655,XUWEN,110.21309007609077,20.24264767065332
14656,XUWEN,110.20990960170228,20.238897420824024
14657,XUWEN,110.23202182344735,20.236797412942053
14658,ZHUHAI,113.80160179951903,22.03393425809308
14659,ZHUHAI,113.78985866698147,22.120244625707
14660,ZHUHAI,113.7952414083437,22.113089042053385
14661,ZHUHAI,113.88471162799496,22.055296108164764
14662,ZHUHAI,113.87349387322033,22.051291576426618
14663,ZHUHAI,113.87927709574132,22.07219496676089
14664,ZHUHAI,113.86813387222074,22.07957226279239
14665,ZHUHAI,113.90933773587888,22.100490300069406
14666,ZHUHAI,113.91391783214657,22.099956578630835
14667,ZHUHAI,113.91411985589288,22.09449283974637
14668,ZHUHAI,113.96301501310715,22.087428776718884
14669,ZHUHAI,114.03954761995496,22.125248986682752
14670,ZHUHAI,114.03397997355742,22.12579660884636
14671,ZHUHAI,114.02806288501176,22.126802688663
14672,ZHUHAI,114.02214881979336,22.12720592823505
14673,ZHUHAI,114.0164713697204,22.128087911297055
14674,ZHUHAI,114.01049060126569,22.12896760596851
14675,HONG KONG,114.05803631954262,22.08278987624444
14676,HONG KONG,114.1401192971256,22.15651553548736
14677,HONG KONG,114.13501824606546,22.157399246722555
14678,HONG KONG,114.12842390231891,22.15807220857613
14679,HONG KONG,114.12321043209032,22.15854794457723
14680,HONG KONG,114.1173079772344,22.158915531231525
14681,HONG KONG,114.1121743798347,22.160038226203945
14682,HONG KONG,114.11130954414038,22.164360692336125
14683,HONG KONG,114.11723754568725,22.163406157557684
14684,HONG KONG,114.12327771365914,22.162683554623552
14685,HONG KONG,114.12867580660397,22.16145721970881
14686,HONG KONG,114.14077372316798,22.15941852269807
14687,ZHUHAI,113.7900957044818,22.124916477260157
14688,ZHUHAI,113.78996083711476,22.13060297409728
