,latitude,longitude
0,50.47548362138367,-5.481918759421323
1,50.47548666219128,-5.481776234323807
2,50.47287670778731,-5.415437906068911
3,50.44141284987116,-5.482701898037398
4,50.44141589016277,-5.482559475369175
5,50.40274713881683,-5.626281461174681
6,50.40275035304823,-5.626139170340433
7,50.40275356710576,-5.625996879480334
8,50.40275678098939,-5.625854588594387
9,50.40265619616839,-5.626276431996032
10,50.40265941038947,-5.626134141433496
11,50.402662624436665,-5.625991850845113
12,50.40266583830999,-5.625849560230882
13,50.3679965579855,-5.6368896914240185
14,50.36799978359102,-5.63674750574457
15,50.35401164069389,-4.309776571704208
16,50.35057878130797,-4.362899184297163
17,50.35048776789451,-4.362896578584043
18,50.297318577019794,-5.389331931848133
19,50.297321497020654,-5.389189929988526
20,50.19900679166039,-4.458859927357377
21,50.199008572308685,-4.458718139920944
22,50.19901035278399,-4.458576352470292
23,50.181479205029895,-5.047052684636161
24,50.18138822133553,-5.047048794745221
25,50.18065285772085,-5.04744274188493
28,50.1718512686189,-4.750489910236664
29,50.17185340430582,-4.750348223396466
30,50.17185553981999,-4.750206536539233
31,50.15426720462731,-4.90729182235753
32,50.154269530972186,-4.907150199876153
33,50.154176212833846,-4.90728820143654
34,50.15417853917126,-4.907146579223631
37,50.122662509063616,-5.728471868683625
38,50.12266583489323,-5.728330421642918
39,50.12257156960488,-5.728466695575117
40,50.12257489542383,-5.728325248801778
41,50.1208192594605,-5.725534405411258
42,50.13496612579714,-4.504364953309143
43,50.12734328432628,-4.400453064350439
44,50.12725226883845,-4.400450407952373
45,50.122911604759466,-4.390410622623768
46,50.1152657883968,-4.562084558728133
47,50.11466051548532,-4.511516110734106
48,50.11466235815514,-4.511374575904729
49,50.11456950428692,-4.511513245004513
50,50.114571346950825,-4.511371710443227
51,50.11446538788134,-4.491403880620625
52,50.108503717950384,-4.515852671378405
53,50.10581463185754,-4.646434652995885
54,50.09193076615276,-5.418446000234903
55,50.0918398040659,-5.41844141954436
65,50.10377583432242,-4.436571196791456
66,50.103684819885615,-4.436568474171382
67,50.10339776217098,-4.437692357493039
68,50.10330674777292,-4.437689632785038
69,50.1025539102048,-4.39491716049243
70,50.09963864058509,-4.40261759385888
71,50.099547624744936,-4.4026149359648254
72,50.096802022890806,-4.512511012358371
73,50.09671101145277,-4.5125081465558
74,50.0967256554869,-4.432397243506413
75,50.09198970000509,-4.579867592190661
76,50.09189869138248,-4.579864599307005
77,50.0861505839849,-4.396139032357839
78,50.08368937168173,-4.477288935835301
79,50.067658651506974,-4.968359432461179
80,50.06756766163437,-4.968355707093503
81,50.06721089492192,-4.96791672321583
82,50.06722048290552,-4.967351279485963
83,50.06712949297095,-4.967347556083355
84,50.06713188952902,-4.967206195370407
85,50.06713428591503,-4.967064834638423
86,50.06703850303474,-4.967343832699782
87,50.06704089958512,-4.967202472253953
88,50.06704329596346,-4.967061111789086
89,50.07431982788944,-4.425646187950515
90,50.073309093130895,-4.418967125603786
91,50.07205047533575,-4.476082466408026
92,50.07205227371096,-4.475941054748877
93,50.07195946199644,-4.476079672062267
94,50.07196126036588,-4.475938260670586
